Project ID,Lead CI,Institution,Title,FoR-08,MASSIVE Allocation kSU,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2022-73,Lianzhou Wang,University of Queensland,Computational Understanding of Semiconductor Nanomaterials for Clean Energy Conversion and Storage,"091200 Materials Engineering: 34%
091205 Functional Materials: 33%
100708 Nanomaterials: 33%",,900,,,900
NCMAS-2022-93,Gregory Sheard,Monash University,Two-dimensionalisation of MHD turbulence and ultimate horizontal convection regimes,"091502 Computational Heat Transfer: 50%
091501 Computational Fluid Dynamics: 30%
091504 Fluidisation and Fluid Mechanics: 20%",,1500,,,1500
NCMAS-2022-94,Hrvoje Tkalcic,Australian National University,Probing the Australian-Pacific plate boundary by computational seismology: Macquarie Ridge in 3D,"040407 Seismology and Seismic Exploration: 70%
040305 Marine Geoscience: 20%
091103 Ocean Engineering: 10%",,3000,,,3000
NCMAS-2022-150,Bram Hoex,University of NSW,Development of low-cost and earth-abundant oxygen reduction reaction catalysts for anion exchange membrane fuel cells.,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
030601 Catalysis and Mechanisms of Reactions: 50%",,2000,,,2000
NCMAS-2022-57,Junming Ho,University of NSW,Accelerating the Design of Novel Catalysts and Drugs through Computational Chemistry,"030700 Theoretical and Computational Chemistry: 20%
030505 Physical Organic Chemistry: 20%
030602 Chemical Thermodynamics and Energetics: 20%
030400 Medicinal and Biomolecular Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",,2500,1100,,3600
NCMAS-2022-63,Hongtao Zhu,University of Wollongong,Carbon Based Tribofilm to improve Engine Performance,"091307 Numerical Modelling and Mechanical Characterisation: 50%
091309 Tribology: 50%",,700,,,700
NCMAS-2022-67,Pramod Nair,Flinders University,Structure-based approaches to guide the discovery of novel anti-cancer agents for the treatment of myelofibrosis,"111204 Cancer Therapy (excl. Chemotherapy and Radiation Therapy): 60%
110202 Haematology: 20%
111206 Haematological Tumours: 20%",,500,,,500
NCMAS-2022-69,Chris Menictas,University of NSW,Advancement of High Energy Density Storage Systems,"091501 Computational Fluid Dynamics: 50%
091305 Energy Generation, Conversion and Storage Engineering: 25%
030604 Electrochemistry: 25%",,750,,,750
NCMAS-2022-113,Vincent Wheatley,University of Queensland,Scramjet-based Access-to-Space and Planetary Entry,"090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 50%
091504 Fluidisation and Fluid Mechanics: 30%
091399 Mechanical Engineering not elsewhere classified: 20%",,3500,2000,,5500
NCMAS-2022-39,Adrian Pudsey,Royal Melbourne Institute of Technology,Aerothermodynamics of High Speed Flight and Enabling Technologies,"091508 Turbulent Flows: 60%
090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 40%",,3250,,,3250
NCMAS-2022-110,Nikhil Medhekar,Monash University,Enabling Functional Properties of Nanoscale Materials using Atomistic Simulations,"030701 Quantum Chemistry: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
100708 Nanomaterials: 20%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%
091207 Metals and Alloy Materials: 10%
091205 Functional Materials: 10%",,4500,4000,2000,10500
NCMAS-2022-96,Andrew Hogg,Australian National University,"The Ocean’s role in the climate system: from kilometres to global scales, from weeks to centuries","040503 Physical Oceanography: 50%
040104 Climate Change Processes: 30%
020303 Fluid Physics: 20%",,11000,,,11000
NCMAS-2022-15,Michael Kirkpatrick,University of Sydney,Thermal Stratification and Destratification Processes in Meandering Rivers,"091501 Computational Fluid Dynamics: 50%
091508 Turbulent Flows: 50%",,500,,,500
NCMAS-2022-102,Simon Campbell,Monash University,3D Simulations of Stars: Turbulence Boundaries and Convective-Reactive Nuclear Burning,"020110 Stellar Astronomy and Planetary Systems: 80%
091501 Computational Fluid Dynamics: 20%",,3500,,,3500
NCMAS-2022-151,Judy Hart,University of NSW,Design and development of photoactive and catalytic materials for efficient solar-to-fuel conversion,"030307 Theory and Design of Materials: 35%
030304 Physical Chemistry of Materials: 30%
030206 Solid State Chemistry: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 15%",,1000,,,1000
NCMAS-2022-98,Robyn Schofield,University of Melbourne,"Atmospheric composition & chemistry modelling on global, regional & local scales","039901 Environmental Chemistry (incl. Atmospheric Chemistry): 30%
040104 Climate Change Processes: 25%
040101 Atmospheric Aerosols: 20%
040108 Tropospheric and Stratospheric Physics: 15%
040103 Atmospheric Radiation: 10%",,1500,,,1500
NCMAS-2022-1,Bishakhdatta Gayen,University of Melbourne,The role of convection and turbulent mixing in ocean circulation,"040403 Geophysical Fluid Dynamics: 50%
040503 Physical Oceanography: 50%",,2000,1600,3600,7200
NCMAS-2022-127,Matthew England,University of NSW,"Past, present and future climate variability and change in the Southern Hemisphere","040503 Physical Oceanography: 25%
040102 Atmospheric Dynamics: 25%
040104 Climate Change Processes: 25%
040105 Climatology (excl. Climate Change Processes): 25%",,8000,,,8000
NCMAS-2022-131,Mohsen Talei,University of Melbourne,Developing predictive tools for cleaner combustion,"091508 Turbulent Flows: 50%
091305 Energy Generation, Conversion and Storage Engineering: 30%
091301 Acoustics and Noise Control (excl. Architectural Acoustics): 20%",,2000,2000,3000,7000
NCMAS-2022-88,Debra Bernhardt,University of Queensland,"Exploring new materials, structures and fluids for catalysis, energy technologies and sensors at the molecular level.","030701 Quantum Chemistry: 20%
030307 Theory and Design of Materials: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
030607 Transport Properties and Non-Equilibrium Processes: 20%
020304 Thermodynamics and Statistical Physics: 20%",,2000,1750,,3750
NCMAS-2022-139,Sean Smith,Australian National University,Computational Nanomaterials Science and Engineering,"030307 Theory and Design of Materials: 65%
091205 Functional Materials: 35%",,3500,1500,5000,10000
NCMAS-2022-35,Charlotte Petersen,University of Queensland,Extracting the hidden structure of glass from particle vibrations,030700 Theoretical and Computational Chemistry: 100%,,500,,,500
NCMAS-2022-43,Colin Jackson,Australian National University,Computational Structural Biology and Protein Engineering,"030401 Biologically Active Molecules: 15%
030400 Medicinal and Biomolecular Chemistry: 15%
030499 Medicinal and Biomolecular Chemistry not elsewhere classified: 14%
030402 Biomolecular Modelling and Design: 14%
030403 Characterisation of Biological Macromolecules: 14%
030405 Molecular Medicine: 14%
030406 Proteins and Peptides: 14%",,1200,,,1200
NCMAS-2022-134,Ravi Jagadeeshan,Monash University,Sticky polymers in flow: Nexus between microscopic and macroscopic dynamics,"090408 Rheology: 80%
020405 Soft Condensed Matter: 20%",,500,,,500
NCMAS-2022-62,Ben Thornber,University of Sydney,Compressible Turbulent Flows,"091501 Computational Fluid Dynamics: 50%
091508 Turbulent Flows: 50%",,2000,500,2000,4500
NCMAS-2022-144,Terry Frankcombe,UNSW Canberra,"Efficient chemical dynamics in gas phase, solid phase and heterogeneous systems","020403 Condensed Matter Modelling and Density Functional Theory: 30%
030601 Catalysis and Mechanisms of Reactions: 30%
030703 Reaction Kinetics and Dynamics: 30%
030701 Quantum Chemistry: 10%",,1000,,,1000
NCMAS-2022-54,Mark Knackstedt,Australian National University,"Training Centre for Multiscale 3D Imaging, Modelling and Manufacturing","050301 Carbon Sequestration Science: 34%
091006 Manufacturing Processes and Technologies (excl. Textiles): 33%
091210 Timber, Pulp and Paper: 33%",,1000,,,1000
NCMAS-2022-56,Anna Ukkola,University of NSW,Will an improved land surface model enhance seasonal prediction of drought?,"040104 Climate Change Processes: 70%
040105 Climatology (excl. Climate Change Processes): 30%",,500,,,500
NCMAS-2022-87,Matthew Hole,Australian National University,Computational Applications in Equilibrium and Instabilities of Advanced Plasma Confinement Geometries,"010502 Integrable Systems (Classical and Quantum): 40%
020204 Plasma Physics; Fusion Plasmas; Electrical Discharges: 40%
020303 Fluid Physics: 20%",,5000,,,5000
NCMAS-2022-147,Gaetan Burgio,Australian National University,Uncovering novel phage-bacteria interactions by mining metagenomics datasets,"060500 Microbiology: 34%
100401 Gene and Molecular Therapy: 33%
100400 Medical Biotechnology: 33%",,610,,,610
NCMAS-2022-65,Christina Adler,University of Sydney,Oral microbiome and tooth decay in children,"060408 Genomics: 34%
060504 Microbial Ecology: 33%
110599 Dentistry not elsewhere classified: 33%",,660,,,660
NCMAS-2022-33,MengJun Qin,Other Australian Government Department,Atomistic Simulations of Nuclear Materials,"020403 Condensed Matter Modelling and Density Functional Theory: 30%
080110 Simulation and Modelling: 30%
091506 Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage): 20%
091200 Materials Engineering: 20%",100,,500,,600
NCMAS-2022-114,Christoph Arns,University of NSW,Multi-scale multi-physics modelling for geostorage applicatons,"091406 Petroleum and Reservoir Engineering: 30%
040499 Geophysics not elsewhere classified: 30%
040603 Hydrogeology: 20%
010302 Numerical Solution of Differential and Integral Equations: 20%",,8000,,,8000
NCMAS-2022-108,Derek Leinweber,University of Adelaide,Electromagnetic Structure of Matter,"020202 Nuclear Physics: 40%
020203 Particle Physics: 40%
020602 Field Theory and String Theory: 20%",,4000,3000,9000,16000
NCMAS-2022-86,Louis Moresi,Australian National University,Evolution and dynamics of the Australian lithosphere,"040403 Geophysical Fluid Dynamics: 30%
080110 Simulation and Modelling: 30%
040402 Geodynamics: 30%
040404 Geothermics and Radiometrics: 10%",,500,1000,,1500
NCMAS-2022-37,Alexander Heger,Monash University,3D Simulations of Core-Collapse Supernovae,"020110 Stellar Astronomy and Planetary Systems: 40%
020105 General Relativity and Gravitational Waves: 25%
020106 High Energy Astrophysics; Cosmic Rays: 20%
020202 Nuclear Physics: 10%
020203 Particle Physics: 5%",,4400,1900,2700,9000
NCMAS-2022-154,Thomas Balle,University of Sydney,Analysis of ligand gated ion channels in realistic membranes by molecular dynamics simulations,"030700 Theoretical and Computational Chemistry: 50%
111500 Pharmacology and Pharmaceutical Sciences: 50%",,750,,,750
NCMAS-2022-42,Benjamin Galton-Fenzi,Australian Antarctic Division,Antarctic systems and future change,"040602 Glaciology: 30%
040500 Oceanography: 30%
040100 Atmospheric Sciences: 20%
040104 Climate Change Processes: 20%",,12000,,,12000
NCMAS-2022-4,Ivan Kassal,University of Sydney,Charge and energy transport in disordered functional materials,"030307 Theory and Design of Materials: 50%
030607 Transport Properties and Non-Equilibrium Processes: 30%
020403 Condensed Matter Modelling and Density Functional Theory: 20%",,500,,,500
NCMAS-2022-91,Tiffany Walsh,Deakin University,Development and application of nano interfacial simulations,"100708 Nanomaterials: 35%
030704 Statistical Mechanics in Chemistry: 35%
091202 Composite and Hybrid Materials: 20%
030701 Quantum Chemistry: 10%",,1300,1100,,2400
NCMAS-2022-123,Evatt Hawkes,University of NSW,Direct Numerical Simulations of Turbulent Combustion,"091508 Turbulent Flows: 50%
091305 Energy Generation, Conversion and Storage Engineering: 25%
090201 Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels): 25%",,7500,7500,27000,42000
NCMAS-2022-155,Asaph Widmer-Cooper,University of Sydney,Computational Materials Design for Solar Energy Conversion,"030704 Statistical Mechanics in Chemistry: 40%
020405 Soft Condensed Matter: 30%
030307 Theory and Design of Materials: 30%",,1000,,1000,2000
NCMAS-2022-12,Meredith Jordan,University of Sydney,Theoretical Investigations of Novel Atmospheric Chemistry Reaction Mechanisms,"030701 Quantum Chemistry: 75%
039901 Environmental Chemistry (incl. Atmospheric Chemistry): 25%
030402 Biomolecular Modelling and Design: 0%
030307 Theory and Design of Materials: 0%",,500,,,500
NCMAS-2022-51,Mark Hoggard,Australian National University,Next generation forecasts of 21st century ground motion and sea-level rise across the Indo-Pacific region driven by global climate change,"040000 Earth Sciences: 40%
040104 Climate Change Processes: 30%
040402 Geodynamics: 30%",,2000,,,2000
NCMAS-2022-34,Adrian Sheppard,Australian National University,X-ray micro-tomography to probe the structure and properties of complex and hierarchical materials,"020406 Surfaces and Structural Properties of Condensed Matter: 20%
029904 Synchrotrons; Accelerators; Instruments and Techniques: 20%
050301 Carbon Sequestration Science: 20%
080106 Image Processing: 20%
090301 Biomaterials: 20%",,900,,,900
NCMAS-2022-117,Liang Cheng,University of Western Australia,Advanced numerical modelling for developing safer and more efficient ocean infrastructure,"091103 Ocean Engineering: 50%
091104 Ship and Platform Hydrodynamics: 25%
091100 Maritime Engineering: 15%
091102 Naval Architecture: 10%",,,8000,10000,18000
NCMAS-2022-82,Matthew Whiting,CSIRO,ASKAP Pilot Survey Science,"020103 Cosmology and Extragalactic Astronomy: 80%
020104 Galactic Astronomy: 17%
020110 Stellar Astronomy and Planetary Systems: 3%",,,1000,1700,2700
NCMAS-2022-14,Alan Mark,University of Queensland,From molecules to cells   Understanding the structural and dynamic properties of cellular components at an atomic level.,"060112 Structural Biology (incl. Macromolecular Modelling): 40%
030406 Proteins and Peptides: 30%
030402 Biomolecular Modelling and Design: 30%",,500,1500,1500,3500
NCMAS-2022-107,Mitra Safavi-Naeini,Other Australian Government Department,Dose Quantification in Particle therapy,"111208 Radiation Therapy: 40%
029903 Medical Physics: 30%
029901 Biological Physics: 15%
020203 Particle Physics: 10%
010500 Mathematical Physics: 5%",400,500,,,900
