Project ID,Lead CI,Institution,Title,FoR-08,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2024-110,Nataliia Sergiienko,University of Adelaide,Development of a coupled LTD-CFD workflow for simulation of wave energy converters in extreme sea states,"091501 Computational Fluid Dynamics: 60%
080110 Simulation and Modelling: 20%
091103 Ocean Engineering: 20%",,1000,,1000
NCMAS-2024-111,Colin Jackson,Australian National University,Computational Structural Biology and Protein Engineering,"030400 Medicinal and Biomolecular Chemistry: 15%
030401 Biologically Active Molecules: 15%
030406 Proteins and Peptides: 14%
030405 Molecular Medicine: 14%
030402 Biomolecular Modelling and Design: 14%
030499 Medicinal and Biomolecular Chemistry not elsewhere classified: 14%
030403 Characterisation of Biological Macromolecules: 14%",1000,,,1000
NCMAS-2024-112,Stephan Rachel,University of Melbourne,Designing a next-generation quantum computer,"020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 65%
020403 Condensed Matter Modelling and Density Functional Theory: 15%
020406 Surfaces and Structural Properties of Condensed Matter: 10%
020400 Condensed Matter Physics: 10%",1000,,,1000
NCMAS-2024-113,Ben Corry,Australian National University,"Molecular simulation of membrane receptors, transporters and pores","060110 Receptors and Membrane Biology: 50%
060112 Structural Biology (incl. Macromolecular Modelling): 35%
029901 Biological Physics: 10%
090404 Membrane and Separation Technologies: 5%",1000,1000,10800,12800
NCMAS-2024-114,Sherif Abbas,Deakin University,Computational discovery of layered lithium solid state electrolyte materials,"020403 Condensed Matter Modelling and Density Functional Theory: 70%
170203 Knowledge Representation and Machine Learning: 30%",,1000,,1000
NCMAS-2024-115,Mark Hoggard,Australian National University,Next generation forecasts of 21st century ground motion and sea-level rise across the Indo-Pacific region driven by global climate change,"040402 Geodynamics: 50%
040605 Palaeoclimatology: 25%
040104 Climate Change Processes: 25%",2400,,,2400
NCMAS-2024-116,Vincent Wheatley,University of Queensland,Scramjet-based Access-to-Space and Planetary Entry,"090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 50%
091504 Fluidisation and Fluid Mechanics: 30%
091399 Mechanical Engineering not elsewhere classified: 20%",1000,8500,,9500
NCMAS-2024-117,Sean Smith,Australian National University,Computational Nanomaterials Science and Engineering,"030307 Theory and Design of Materials: 65%
091205 Functional Materials: 35%",1000,,,1000
NCMAS-2024-118,Robert Edwards,Flinders University,Large-scale mining and characterisation of bacteriophage genomes from metagenomes,"080301 Bioinformatics Software: 40%
060102 Bioinformatics: 40%
060500 Microbiology: 20%",,2305,780,3085
NCMAS-2024-119,Tiffany Walsh,Deakin University,Development and application of nano interfacial simulations,"091202 Composite and Hybrid Materials: 36%
100708 Nanomaterials: 32%
030704 Statistical Mechanics in Chemistry: 32%",1400,,,1400
NCMAS-2024-120,Che Zhang,University of Melbourne,Molecular dynamics simulation of cold spray,091207 Metals and Alloy Materials: 100%,1000,,,1000
NCMAS-2024-121,Aman G. Kidanemariam,University of Melbourne,High-fidelity simulation of the dynamics and dispersion of microplastics in turbulent shallow flows,"091103 Ocean Engineering: 30%
090700 Environmental Engineering: 30%
090500 Civil Engineering: 25%
091300 Mechanical Engineering: 15%",4664,,,4664
NCMAS-2024-122,Andrew Neely,UNSW Canberra,Fluid-thermal-structural interactions for high-speed flight and propulsion,"090103 Aerospace Structures: 40%
090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 40%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 20%",1000,,,1000
NCMAS-2024-123,Junming Ho,University of NSW,Accelerating the Design of Novel Catalysts and Drugs through Computational Chemistry,"030700 Theoretical and Computational Chemistry: 20%
030505 Physical Organic Chemistry: 20%
030602 Chemical Thermodynamics and Energetics: 20%
030400 Medicinal and Biomolecular Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",1000,1000,1400,3400
NCMAS-2024-124,Charlotte Petersen,University of Melbourne,Extracting the hidden structure of glass from particle vibrations,030700 Theoretical and Computational Chemistry: 100%,1000,,,1000
NCMAS-2024-125,Robyn Schofield,University of Melbourne,"Atmospheric composition & chemistry modelling on global, regional & local scales","039901 Environmental Chemistry (incl. Atmospheric Chemistry): 30%
040104 Climate Change Processes: 25%
040101 Atmospheric Aerosols: 20%
040108 Tropospheric and Stratospheric Physics: 15%
040103 Atmospheric Radiation: 10%",1000,,,1000
NCMAS-2024-126,David Wilson,La Trobe University,Quantum Chemical Molecular Properties,"030701 Quantum Chemistry: 40%
030606 Structural Chemistry and Spectroscopy: 20%
030207 Transition Metal Chemistry: 15%
030402 Biomolecular Modelling and Design: 15%
030602 Chemical Thermodynamics and Energetics: 10%",1000,,,1000
NCMAS-2024-127,Gaetan Burgio,Australian National University,Uncovering novel phage-bacteria interactions by mining metagenomics and metatranscriptomic information for new biotechnology applications,"060500 Microbiology: 34%
100400 Medical Biotechnology: 33%
100401 Gene and Molecular Therapy: 33%",1000,,,1000
NCMAS-2024-128,Alexander Heger,Monash University,3D Simulations of Core-Collapse Supernovae,"020110 Stellar Astronomy and Planetary Systems: 40%
020105 General Relativity and Gravitational Waves: 30%
020106 High Energy Astrophysics; Cosmic Rays: 20%
020202 Nuclear Physics: 10%",5131,6447,,11578
NCMAS-2024-129,Derek Leinweber,University of Adelaide,Emergent Structure of Quantum Chromodynamics,"020202 Nuclear Physics: 60%
020203 Particle Physics: 30%
020602 Field Theory and String Theory: 10%",3200,4800,20000,28000
NCMAS-2024-130,Asaph Widmer-Cooper,University of Sydney,Computational Materials Design for Solar Energy Conversion,"030704 Statistical Mechanics in Chemistry: 40%
020405 Soft Condensed Matter: 30%
030307 Theory and Design of Materials: 30%",1000,1800,,2800
NCMAS-2024-131,Oleg Tretiakov,University of NSW,Magnetic and Thermoelectric Properties of Topological Materials,"020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 50%
020403 Condensed Matter Modelling and Density Functional Theory: 50%",1000,,,1000
NCMAS-2024-132,Richard Edwards,University of Western Australia,Genomic and Bioinformatic Resources for Ocean Conservation and Management,"060408 Genomics: 50%
060102 Bioinformatics: 50%",,2830,,2830
NCMAS-2024-133,Alan Mark,University of Queensland,From molecules to cells   Understanding the structural and dynamic properties of cellular components at an atomic level.,"060112 Structural Biology (incl. Macromolecular Modelling): 40%
030406 Proteins and Peptides: 30%
030402 Biomolecular Modelling and Design: 30%",1000,4000,1750,6750
NCMAS-2024-134,Hongwei An,University of Western Australia,Advanced numerical modelling for developing safer and more efficient ocean infrastructure,"091103 Ocean Engineering: 50%
091104 Ship and Platform Hydrodynamics: 25%
091100 Maritime Engineering: 15%
091102 Naval Architecture: 10%",,12000,14000,26000
NCMAS-2024-135,Rhodri Davies,Australian National University,Revealing the 4-D Evolution of Earth's Engine,"040402 Geodynamics: 75%
040601 Geomorphology and Regolith and Landscape Evolution: 15%
040313 Tectonics: 10%",7800,4500,,12300
NCMAS-2024-136,Debra Bernhardt,University of Queensland,"Molecular systems out of equilibrium: theory, simulation and application","030701 Quantum Chemistry: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
030307 Theory and Design of Materials: 20%
020304 Thermodynamics and Statistical Physics: 20%
030607 Transport Properties and Non-Equilibrium Processes: 20%",1000,5807,1000,7807
NCMAS-2024-137,Cheong Xin Chan,University of Queensland,Comparative and Evolutionary Genomics of Microbes from Diverse Environments,"010406 Stochastic Analysis and Modelling: 20%
060309 Phylogeny and Comparative Analysis: 20%
060407 Genome Structure and Regulation: 20%
060408 Genomics: 20%
060409 Molecular Evolution: 20%",3600,,,3600
NCMAS-2024-138,Eduardo Eyras,Australian National University,Molecular Mining of Environmental Samples,"060102 Bioinformatics: 40%
060405 Gene Expression (incl. Microarray and other genome-wide approaches): 40%
170203 Knowledge Representation and Machine Learning: 20%",2900,,,2900
NCMAS-2024-139,Jingbo Wang,University of Western Australia,The design and simulation of practical quantum variational algorithms.,"020603 Quantum Information, Computation and Communication: 80%
010303 Optimisation: 20%",1000,1000,1000,3000
NCMAS-2024-140,Matthew Woodhouse,CSIRO,Antarctic systems and future change,"040602 Glaciology: 30%
040500 Oceanography: 30%
040100 Atmospheric Sciences: 20%
040104 Climate Change Processes: 20%",15000,,,15000
NCMAS-2024-141,Mohsen Talei,University of Melbourne,Developing predictive tools for cleaner combustion,"091508 Turbulent Flows: 50%
091305 Energy Generation, Conversion and Storage Engineering: 30%
091301 Acoustics and Noise Control (excl. Architectural Acoustics): 20%",3000,7000,,10000
NCMAS-2024-142,Louis Moresi,Australian National University,Evolution and dynamics of the Australian lithosphere,"040403 Geophysical Fluid Dynamics: 30%
080110 Simulation and Modelling: 30%
040402 Geodynamics: 30%
040404 Geothermics and Radiometrics: 10%",1000,1000,,2000
NCMAS-2024-143,Charitha de Silva,University of NSW,Dispersion of aerosols and its impact on airborne transmissible diseases,091504 Fluidisation and Fluid Mechanics: 100%,1000,,,1000
NCMAS-2024-144,Raymond Tobler,Australian National University,The Evolution of Cultural Diversity Initiative,"200400 Linguistics: 20%
210000 History and Archaeology: 20%
060206 Palaeoecology: 15%
060300 Evolutionary Biology: 15%
060401 Anthropological Genetics: 15%
160100 Anthropology: 15%",1000,,,1000
NCMAS-2024-145,Adam Trevitt,University of Wollongong,Computational Investigation of the Chemistry of Reactive Intermediates,"030606 Structural Chemistry and Spectroscopy: 50%
030101 Analytical Spectrometry: 25%
030505 Physical Organic Chemistry: 25%",1000,,,1000
NCMAS-2024-146,Megan O'Mara,University of Queensland,Membrane targeting delivery systems for precision nanomedicine,"030403 Characterisation of Biological Macromolecules: 30%
030402 Biomolecular Modelling and Design: 25%
060112 Structural Biology (incl. Macromolecular Modelling): 25%
060110 Receptors and Membrane Biology: 20%",2500,4077,1000,7577
NCMAS-2024-147,Yasir Al-Abdeli,Edith Cowan University,The interplay between droplet velocity and size using LES of aqueous sprays,"091501 Computational Fluid Dynamics: 50%
090508 Water Quality Engineering: 50%",,1000,,1000
NCMAS-2024-148,Tongliang Liu,University of Sydney,Towards robust model selection for weakly-supervised learning,170203 Knowledge Representation and Machine Learning: 100%,,,1000,1000
NCMAS-2024-149,Carla Verdi,University of Queensland,First-principles design of atomic defects for quantum technologies,"020403 Condensed Matter Modelling and Density Functional Theory: 80%
030307 Theory and Design of Materials: 20%",1000,,,1000
NCMAS-2024-150,Loretti Dobrescu,University of NSW,Semi-structural estimation and behavioural economics,"140103 Mathematical Economics: 50%
140000 Economics: 50%",1000,,,1000
NCMAS-2024-151,Matthew England,University of NSW,"Past, present and future climate variability and change in the Southern Ocean","040503 Physical Oceanography: 25%
040102 Atmospheric Dynamics: 25%
040104 Climate Change Processes: 25%
040105 Climatology (excl. Climate Change Processes): 25%",10200,,,10200
NCMAS-2024-152,Zaiping Guo,University of Adelaide,Interfacial Design for Rechargeable Ion Batteries,"030307 Theory and Design of Materials: 30%
030600 Physical Chemistry (including Structural): 25%
030604 Electrochemistry: 25%
091200 Materials Engineering: 20%",2200,,,2200
