Project ID,Lead CI,Institution,Title,FoR-08,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2023-60,Tiffany Walsh,Deakin University,Development and application of nano interfacial simulations,"100708 Nanomaterials: 35%
030704 Statistical Mechanics in Chemistry: 35%
091202 Composite and Hybrid Materials: 20%
030701 Quantum Chemistry: 10%",1000,500,800,2300
NCMAS-2023-127,Lian Zhang,Monash University,Computational Study of Impurity-Doped Iron Oxides for Ketonisation Reaction,"030304 Physical Chemistry of Materials: 17%
030700 Theoretical and Computational Chemistry: 17%
030601 Catalysis and Mechanisms of Reactions: 17%
030203 Inorganic Green Chemistry: 17%
100708 Nanomaterials: 16%
091200 Materials Engineering: 16%",1000,,,1000
NCMAS-2023-6,Matthew Whiting,CSIRO,ASKAP Survey Science,"020103 Cosmology and Extragalactic Astronomy: 80%
020104 Galactic Astronomy: 17%
020110 Stellar Astronomy and Planetary Systems: 3%",,2000,,2000
NCMAS-2023-134,David Wilson,La Trobe University,Quantum Chemical Molecular Properties,"030701 Quantum Chemistry: 40%
030606 Structural Chemistry and Spectroscopy: 20%
030207 Transition Metal Chemistry: 15%
030402 Biomolecular Modelling and Design: 15%
030602 Chemical Thermodynamics and Energetics: 10%",1000,,,1000
NCMAS-2023-126,Christoph Federrath,Australian National University,From Interstellar Turbulence to the Formation of Stars,"020110 Stellar Astronomy and Planetary Systems: 50%
020104 Galactic Astronomy: 25%
020103 Cosmology and Extragalactic Astronomy: 25%",7300,22000,,29300
NCMAS-2023-128,Mark Thompson,Monash University,"Transition, stability and control of bluff body flows","020303 Fluid Physics: 30%
091504 Fluidisation and Fluid Mechanics: 30%
091304 Dynamics, Vibration and Vibration Control: 20%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 20%",2000,8000,,10000
NCMAS-2023-125,Ravi Jagadeeshan,Monash University,Sticky polymers in flow: Nexus between microscopic and macroscopic dynamics,"090408 Rheology: 80%
020405 Soft Condensed Matter: 20%",1000,,1000,2000
NCMAS-2023-109,Cedric Simenel,Australian National University,Microscopic Studies of Nuclear Structure and Dynamics,"020202 Nuclear Physics: 90%
020203 Particle Physics: 10%",1000,,,1000
NCMAS-2023-76,Giuseppe Barca,Australian National University,Developing Accurate Chemical Models for Nanomaterial Interfaces and Drug Binding,"030700 Theoretical and Computational Chemistry: 70%
080500 Distributed Computing: 30%",,,15000,15000
NCMAS-2023-89,Benjamin Noble,Royal Melbourne Institute of Technology,Rational Design of Novel Catalysts and Precision Nanomaterials,"030700 Theoretical and Computational Chemistry: 60%
030601 Catalysis and Mechanisms of Reactions: 20%
030505 Physical Organic Chemistry: 20%",1000,,,1000
NCMAS-2023-86,Adam Trevitt,University of Wollongong,Computational Investigation of the Chemistry of Reactive Intermediates,"030606 Structural Chemistry and Spectroscopy: 50%
030505 Physical Organic Chemistry: 25%
030101 Analytical Spectrometry: 25%",1000,,,1000
NCMAS-2023-141,Lloyd Hollenberg,University of Melbourne,Quantum Computer Simulation and Development,"020600 Quantum Physics: 80%
020403 Condensed Matter Modelling and Density Functional Theory: 20%",1000,500,500,2000
NCMAS-2023-124,Evelyne Deplazes,University of Queensland,"Towards realistic models of permeability, pore formation and surface interactions in biological membranes","030403 Characterisation of Biological Macromolecules: 40%
030402 Biomolecular Modelling and Design: 30%
060112 Structural Biology (incl. Macromolecular Modelling): 30%",1000,,1000,2000
NCMAS-2023-113,Louis Moresi,Australian National University,Evolution and dynamics of the Australian lithosphere,"040402 Geodynamics: 30%
040403 Geophysical Fluid Dynamics: 30%
080110 Simulation and Modelling: 30%
040404 Geothermics and Radiometrics: 10%",1000,2800,,3800
NCMAS-2023-62,James Hane,Curtin University of Technology,"Bioinformatic analysis of agriculturally important plants, pathogen and pests.","060102 Bioinformatics: 20%
060408 Genomics: 20%
080301 Bioinformatics Software: 20%
070308 Crop and Pasture Protection (Pests, Diseases and Weeds): 20%
060704 Plant Pathology: 20%",,1200,,1200
NCMAS-2023-130,Derek Leinweber,University of Adelaide,Emergent Structure of Quantum Chromodynamics,"020203 Particle Physics: 40%
020202 Nuclear Physics: 40%
020602 Field Theory and String Theory: 20%",6500,5500,30000,42000
NCMAS-2023-101,Ha Bui,Monash University,UNRAVELLING MICRO-MACRO LINKS IN PREDICTIONS OF GRANULAR FAILURE,"090501 Civil Geotechnical Engineering: 70%
091402 Geomechanics and Resources Geotechnical Engineering: 30%",,1000,,1000
NCMAS-2023-46,Justin Leontini,Swinburne University of Technology,Oscillatory flows in complex geometries,"091504 Fluidisation and Fluid Mechanics: 70%
091501 Computational Fluid Dynamics: 30%",1000,3000,,4000
NCMAS-2023-43,Hongwei An,University of Western Australia,Advanced numerical modelling for developing safer and more efficient ocean infrastructure,"091103 Ocean Engineering: 50%
091104 Ship and Platform Hydrodynamics: 25%
091100 Maritime Engineering: 15%
091102 Naval Architecture: 10%",1000,5000,,6000
NCMAS-2023-96,Adrian Sheppard,Australian National University,X-ray micro-tomography to probe the structure and properties of complex and hierarchical materials,"020406 Surfaces and Structural Properties of Condensed Matter: 20%
029904 Synchrotrons; Accelerators; Instruments and Techniques: 20%
050301 Carbon Sequestration Science: 20%
080106 Image Processing: 20%
090301 Biomaterials: 20%",1000,,,1000
NCMAS-2023-30,Terry Frankcombe,UNSW Canberra,"Efficient chemical dynamics in gas phase, solid phase and heterogeneous systems","020403 Condensed Matter Modelling and Density Functional Theory: 30%
030601 Catalysis and Mechanisms of Reactions: 30%
030703 Reaction Kinetics and Dynamics: 30%
030701 Quantum Chemistry: 10%",1300,,,1300
NCMAS-2023-116,Oleg Tretiakov,University of NSW,Magnetic and Thermoelectric Properties of Topological Materials,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 50%",4000,,,4000
NCMAS-2023-71,Eirini Goudeli,University of Melbourne,Unveiling the Formation Pathways of Soot Particles by Hierarchical Modelling,"090405 Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels): 60%
090406 Powder and Particle Technology: 40%",2800,,,2800
NCMAS-2023-49,Bram Hoex,University of NSW,Modelling of Transition Metal Oxides-based Low-Cost Catalysts and Use of Artificial-Intelligence,"030601 Catalysis and Mechanisms of Reactions: 40%
020403 Condensed Matter Modelling and Density Functional Theory: 40%
080100 Artificial Intelligence and Image Processing: 20%",4500,,,4500
NCMAS-2023-94,Alexander Heger,Monash University,3D Simulations of Core-Collapse Supernovae,"020110 Stellar Astronomy and Planetary Systems: 40%
020105 General Relativity and Gravitational Waves: 25%
020106 High Energy Astrophysics; Cosmic Rays: 20%
020202 Nuclear Physics: 10%
020203 Particle Physics: 5%",4300,6000,,10300
NCMAS-2023-32,Aman G. Kidanemariam,University of Melbourne,High-fidelity simulation of the dynamics and dispersion of microplastics in turbulent shallow flows,"090700 Environmental Engineering: 30%
091103 Ocean Engineering: 30%
090500 Civil Engineering: 25%
091300 Mechanical Engineering: 15%",1000,,,1000
NCMAS-2023-110,Colin Jackson,Australian National University,Computational Structural Biology and Protein Engineering,"030401 Biologically Active Molecules: 15%
030400 Medicinal and Biomolecular Chemistry: 15%
030499 Medicinal and Biomolecular Chemistry not elsewhere classified: 14%
030405 Molecular Medicine: 14%
030403 Characterisation of Biological Macromolecules: 14%
030406 Proteins and Peptides: 14%
030402 Biomolecular Modelling and Design: 14%",1000,,,1000
NCMAS-2023-103,Vanessa Hayes,University of Sydney,Resolving Prostate Cancer Health Disparities Through Population-scale Genomic Interrogation,"060408 Genomics: 50%
060102 Bioinformatics: 30%
111203 Cancer Genetics: 20%",1090,,,1090
NCMAS-2023-61,Matthew England,University of NSW,"Past, present and future climate variability and change in the Southern Hemisphere","040503 Physical Oceanography: 25%
040102 Atmospheric Dynamics: 25%
040104 Climate Change Processes: 25%
040105 Climatology (excl. Climate Change Processes): 25%",6000,,,6000
NCMAS-2023-84,Zongyou Yin,Australian National University,High-throughput screening of advanced catalysts based on first-principles calculations for CO2 Reduction,"091305 Energy Generation, Conversion and Storage Engineering: 20%
030307 Theory and Design of Materials: 20%
030306 Synthesis of Materials: 20%
030301 Chemical Characterisation of Materials: 20%
030300 Macromolecular and Materials Chemistry: 20%",1000,,,1000
NCMAS-2023-26,Asaph Widmer-Cooper,University of Sydney,Computational Materials Design for Solar Energy Conversion,"030704 Statistical Mechanics in Chemistry: 40%
030307 Theory and Design of Materials: 30%
020405 Soft Condensed Matter: 30%",1000,1000,,2000
NCMAS-2023-85,Mitra Safavi-Naeini,Other Australian Government Department,Dose Quantification in Particle therapy,"111208 Radiation Therapy: 40%
029903 Medical Physics: 30%
029901 Biological Physics: 15%
020203 Particle Physics: 10%
010500 Mathematical Physics: 5%",1000,,1000,2000
NCMAS-2023-70,Ivan Kassal,University of Sydney,Charge and energy transport in disordered functional materials,"030307 Theory and Design of Materials: 50%
030607 Transport Properties and Non-Equilibrium Processes: 30%
020403 Condensed Matter Modelling and Density Functional Theory: 20%",1000,,,1000
NCMAS-2023-19,Benjamin Galton-Fenzi,Australian Antarctic Division,Antarctic systems and future change,"040602 Glaciology: 30%
040500 Oceanography: 30%
040100 Atmospheric Sciences: 20%
040104 Climate Change Processes: 20%",15000,,,15000
NCMAS-2023-48,Ben Thornber,University of Sydney,Compressible Turbulent Flows,"091501 Computational Fluid Dynamics: 50%
091508 Turbulent Flows: 50%",3500,6250,,9750
NCMAS-2023-20,Gaetan Burgio,Australian National University,Uncovering novel phage-bacteria interactions by mining metagenomics and metatranscriptomic informations,"060500 Microbiology: 34%
100400 Medical Biotechnology: 33%
100401 Gene and Molecular Therapy: 33%",1600,,,1600
NCMAS-2023-74,Carla Verdi,University of Sydney,First-principles design of atomic defects for quantum technologies,"020403 Condensed Matter Modelling and Density Functional Theory: 80%
030307 Theory and Design of Materials: 20%",1000,,,1000
NCMAS-2023-57,Alan Mark,University of Queensland,From molecules to cells   Understanding the structural and dynamic properties of cellular components at an atomic level.,"060112 Structural Biology (incl. Macromolecular Modelling): 40%
030406 Proteins and Peptides: 30%
030402 Biomolecular Modelling and Design: 30%",1000,2000,2000,5000
NCMAS-2023-133,Robyn Schofield,University of Melbourne,"Atmospheric composition & chemistry modelling on global, regional & local scales","039901 Environmental Chemistry (incl. Atmospheric Chemistry): 30%
040104 Climate Change Processes: 25%
040101 Atmospheric Aerosols: 20%
040108 Tropospheric and Stratospheric Physics: 15%
040103 Atmospheric Radiation: 10%",1000,,,1000
